Price,Model,"Year, Engine, Distance","Location, Date"
34 900 AZN,Kia Sorento,"2017, 2.0 L, 160 000 km","Bakı, bugün 19:12"
23 800 AZN,Hyundai Elantra,"2016, 2.0 L, 111 000 km","Bakı, bugün 19:12"
23 900 AZN,Hyundai Sonata,"2015, 2.0 L, 97 000 km","Bakı, bugün 19:12"
28 300 AZN,Hyundai Tucson,"2018, 2.0 L, 46 000 km","Bakı, bugün 19:12"
25 700 AZN,Hyundai Elantra,"2019, 2.0 L, 67 000 km","Bakı, bugün 19:12"
6 500 AZN,Iran Khodro Soren,"2014, 1.6 L, 380 000 km","Bakı, bugün 19:12"
28 900 AZN,Toyota Land Cruiser Prado,"2007, 2.7 L, 185 000 km","Bakı, bugün 19:11"
22 900 AZN,Ford Fusion (North America),"2018, 1.5 L, 62 300 km","Bakı, bugün 09:42"
81 510 AZN,Volvo S90,"2024, 2.0 L, 0 km","Bakı, bugün 13:51"
35 900 AZN,Kia Sorento,"2015, 2.0 L, 190 000 km","Bakı, bugün 19:11"
17 000 AZN,Toyota Aqua,"2016, 1.5 L, 35 749 km","Bakı, bugün 17:18"
26 900 $,Porsche Cayenne,"2014, 3.6 L, 92 000 km","Bakı, bugün 09:17"
17 800 AZN,Toyota Prius,"2007, 1.5 L, 245 000 km","Bakı, bugün 16:46"
13 700 AZN,Chevrolet Cruze,"2015, 1.4 L, 237 000 km","Sumqayıt, bugün 00:16"
9 800 AZN,Nissan Sunny,"2007, 1.3 L, 460 000 km","Bakı, bugün 02:26"
4 200 AZN,LADA (VAZ) 2107,"2004, 1.6 L, 95 000 km","Balakən, bugün 09:17"
29 000 $,BMW 540,"2017, 3.0 L, 99 000 km","Bakı, bugün 15:52"
23 900 AZN,Hyundai Elantra,"2017, 2.0 L, 58 000 km","Bakı, bugün 17:41"
23 400 AZN,Hyundai Elantra,"2016, 2.0 L, 61 155 km","Bakı, bugün 08:40"
37 000 AZN,Hyundai Tucson,"2021, 2.0 L, 96 000 km","Bakı, bugün 19:11"
31 500 AZN,Hyundai Santa Fe,"2018, 2.0 L, 106 000 km","Bakı, bugün 19:11"
15 800 AZN,Kia Picanto,"2017, 1.0 L, 180 000 km","Bakı, bugün 19:11"
23 400 $,Hyundai Sonata,"2021, 1.6 L, 77 600 km","Bakı, bugün 19:11"
21 800 AZN,Ford Fusion (North America),"2018, 1.5 L, 124 000 km","Bakı, bugün 19:11"
22 900 AZN,Kia Rio,"2019, 1.6 L, 83 000 km","Bakı, bugün 19:11"
27 900 AZN,Hyundai IONIQ,"2019, 1.6 L, 165 000 km","Bakı, bugün 19:11"
