Price,Model,"Year, Engine, Distance","Location, Date"
29 900 AZN,Kia Sorento,"2017, 2.0 L, 115 000 km","Bakı, bugün 17:32"
22 800 AZN,Hyundai Grandeur,"2012, 2.4 L, 216 413 km","Ağdaş, bugün 17:32"
15 500 AZN,Hyundai Accent,"2012, 1.6 L, 300 000 km","Bakı, bugün 17:32"
33 500 AZN,Kia Seltos,"2019, 2.0 L, 39 700 km","Bakı, bugün 17:40"
7 000 AZN,LADA (VAZ) 2107,"2010, 1.6 L, 31 000 km","Cəlilabad, bugün 17:40"
8 900 AZN,Mercedes C 240,"1998, 2.4 L, 450 000 km","Bakı, bugün 17:32"
18 000 AZN,Nissan Note,"2019, 1.2 L, 90 000 km","Bakı, bugün 17:31"
30 500 AZN,Hyundai Avante,"2022, 1.6 L, 114 000 km","Bakı, bugün 17:31"
22 900 AZN,Hyundai Elantra,"2016, 2.0 L, 129 000 km","Bakı, bugün 17:31"
15 000 $,Mitsubishi Eclipse Cross,"2019, 1.5 L, 130 000 km","Bakı, bugün 17:31"
18 000 AZN,Hyundai Accent,"2015, 1.6 L, 197 949 km","Sumqayıt, bugün 17:31"
44 900 $,Jeep Wrangler,"2020, 2.0 L, 122 000 km","Bakı, bugün 17:31"
32 500 $,Ford Explorer,"2021, 2.3 L, 51 000 km","Bakı, bugün 17:30"
23 900 AZN,Hyundai Elantra,"2018, 2.0 L, 188 000 km","Bakı, bugün 17:30"
38 900 $,Toyota Hilux,"2024, 2.4 L, 0 km","Bakı, bugün 17:30"
42 900 $,Chevrolet Silverado,"2021, 2.7 L, 111 000 km","Bakı, bugün 17:30"
32 000 AZN,BMW 528,"2016, 2.0 L, 145 000 km","Bakı, bugün 17:30"
10 750 AZN,LADA (VAZ) Priora,"2013, 1.6 L, 380 000 km","Salyan, bugün 17:30"
14 200 AZN,Mercedes C 200,"2000, 2.0 L, 331 000 km","Bakı, bugün 17:30"
3 300 AZN,Saipa 132,"2014, 1.3 L, 190 000 km","Bakı, bugün 17:31"
18 400 AZN,Chevrolet Malibu,"2017, 1.5 L, 124 000 km","Bakı, bugün 17:30"
43 800 $,Ford F-150,"2021, 2.7 L, 38 000 km","Bakı, bugün 10:23"
19 800 AZN,BMW 328,"2015, 2.0 L, 195 078 km","Bakı, bugün 17:20"
52 500 $,Bentley Flying Spur,"2014, 6.0 L, 125 000 km","Bakı, bugün 11:23"
56 000 $,Mercedes EQE 350,"2022, 23 000 km","Bakı, bugün 13:15"
17 000 $,Changan Qiyuan Q05,"2025, 1.5 L, 0 km","Bakı, dünən 21:13"
30 600 AZN,Hyundai Santa Fe,"2016, 2.0 L, 194 000 km","Bakı, bugün 11:12"
18 300 AZN,Mercedes E 220 d,"2006, 2.2 L, 321 000 km","Bakı, bugün 17:23"
30 000 AZN,Tesla Model S,"2015, 190 000 km","Bakı, bugün 13:14"
22 900 AZN,Kia Forte,"2017, 2.0 L, 59 000 km","Bakı, bugün 17:17"
8 000 AZN,Mercedes Viano,"2005, 2.2 L, 185 000 km","Bakı, bugün 19:30"
12 300 AZN,Chevrolet Cruze,"2012, 1.4 L, 209 700 km","Gəncə, bugün 09:18"
23 500 AZN,Infiniti QX56,"2005, 5.6 L, 157 000 km","Bakı, bugün 19:26"
15 488 €,Changan Uni-Z,"2024, 1.5 L, 0 km","Bakı, bugün 17:30"
150 000 AZN,Iveco 150E18,"2018, 11 L, 250 000 km","Bakı, bugün 17:29"
30 000 AZN,BMW 528,"2015, 2.0 L, 196 000 km","Gəncə, bugün 17:29"
43 500 AZN,Audi A5 Sportback,"2017, 2.0 L, 98 500 km","Bakı, bugün 17:29"
47 000 $,BMW 530e,"2022, 2.0 L, 28 000 km","Bakı, bugün 17:29"
14 500 AZN,Chevrolet Captiva,"2012, 2.4 L, 192 000 km","Bakı, bugün 17:29"
6 000 AZN,Fiat Doblo,"2003, 1.6 L, 349 000 km","Xaçmaz, bugün 17:29"
105 000 $,Land Rover Range Rover,"2020, 3.0 L, 50 000 km","Bakı, bugün 17:29"
24 500 AZN,Kia Cerato,"2017, 2.0 L, 23 000 km","Bakı, bugün 18:33"
13 300 AZN,Nissan Leaf,"2014, 99 000 km","Gəncə, bugün 17:28"
21 500 AZN,Toyota Aqua,"2020, 1.5 L, 48 410 km","Bakı, bugün 19:27"
22 950 $,Jeep Wrangler,"2015, 3.6 L, 320 000 km","Bakı, bugün 17:28"
24 500 AZN,Hyundai Grandeur,"2012, 2.4 L, 173 000 km","Bakı, bugün 17:28"
8 700 AZN,Mercedes E 240,"1998, 2.4 L, 315 088 km","Bakı, bugün 17:33"
27 000 AZN,Jeep Grand Cherokee,"2012, 3.6 L, 215 000 km","Bakı, bugün 17:27"
36 900 $,ZEEKR 001,"2024, 0 km","Bakı, bugün 17:27"
25 500 AZN,Mercedes GL 550,"2009, 5.5 L, 322 000 km","Bakı, bugün 17:27"
46 900 $,ZEEKR 001,"2024, 0 km","Bakı, bugün 17:27"
36 900 $,ZEEKR 001,"2024, 0 km","Bakı, bugün 17:27"
23 800 $,Toyota Camry,"2018, 2.5 L, 129 000 km","Bakı, bugün 17:27"
46 900 $,ZEEKR 001,"2024, 0 km","Bakı, bugün 17:27"
32 500 $,Mercedes E 300,"2018, 2.0 L, 98 000 km","Şirvan, bugün 17:27"
33 500 AZN,BMW 528,"2015, 2.0 L, 209 000 km","Bakı, bugün 17:28"
7 800 AZN,Opel Astra,"1998, 1.6 L, 400 000 km","Sumqayıt, bugün 17:27"
66 200 AZN,Kia Sportage,"2024, 1.6 L, 0 km","Bakı, bugün 11:07"
32 900 AZN,Geely Emgrand,"2024, 1.5 L, 0 km","Bakı, bugün 13:21"
20 200 AZN,Volkswagen Passat,"2016, 1.8 L, 140 000 km","Xaçmaz, dünən 19:56"
67 500 $,Li Auto L9,"2025, 1.5 L, 0 km","Bakı, bugün 18:57"
57 500 AZN,Hyundai Sonata,"2024, 2.0 L, 12 300 km","Bakı, bugün 10:50"
29 900 AZN,Infiniti QX56,"2008, 5.6 L, 82 543 km","Bakı, bugün 12:42"
54 000 AZN,Changan Uni-T,"2023, 1.5 L, 13 000 km","Bakı, dünən 20:38"
18 500 AZN,Khazar SD,"2022, 1.7 L, 50 000 km","Bakı, bugün 16:51"
13 300 AZN,LADA (VAZ) Priora,"2017, 1.6 L, 275 000 km","Bakı, bugün 10:24"
27 900 $,Toyota Land Cruiser,"2010, 4.0 L, 185 000 km","Bakı, bugün 02:43"
34 000 $,Audi Q7,"2019, 2.0 L, 120 000 km","Bakı, dünən 23:46"
25 123 AZN,BYD Destroyer 05,"2024, 1.5 L, 0 km","Bakı, bugün 16:14"
7 800 AZN,Opel Astra,"1998, 1.6 L, 400 000 km","Sumqayıt, bugün 17:27"
25 500 AZN,Mitsubishi Outlander,"2013, 2.4 L, 169 000 km","Bakı, bugün 17:27"
13 400 AZN,Chevrolet Cruze,"2014, 1.4 L, 135 000 km","Bakı, bugün 17:26"
19 700 AZN,Land Rover Range Rover,"2003, 3.0 L, 437 000 km","Bakı, bugün 17:26"
8 500 AZN,LADA (VAZ) 2107,"2010, 1.6 L, 11 900 km","Bakı, bugün 17:26"
19 500 AZN,Ford Fusion (North America),"2017, 1.5 L, 200 000 km","Bakı, bugün 17:26"
17 100 AZN,Chevrolet Cruze,"2016, 1.4 L, 120 000 km","Bakı, bugün 17:26"
15 900 AZN,LADA (VAZ) Niva,"2019, 1.7 L, 43 225 km","Sumqayıt, bugün 17:26"
10 800 AZN,Toyota Prius,"2006, 1.5 L, 277 000 km","Sumqayıt, bugün 17:26"
13 200 AZN,Mercedes Vito,"2000, 2.2 L, 420 543 km","Bakı, bugün 17:26"
26 700 AZN,Mercedes Vito,"2011, 2.2 L, 168 000 km","Bakı, bugün 17:26"
38 800 $,Toyota Land Cruiser Prado,"2017, 2.7 L, 87 500 km","Bakı, bugün 17:26"
35 000 AZN,Changan Uni-V,"2024, 1.5 L, 0 km","Bakı, bugün 17:25"
46 900 $,ZEEKR 001,"2024, 0 km","Bakı, bugün 17:25"
46 900 $,ZEEKR 001,"2024, 0 km","Bakı, bugün 17:25"
77 500 $,ZEEKR 009,"2024, 0 km","Bakı, bugün 17:25"
39 400 AZN,BYD Qin Plus,"2024, 1.5 L, 0 km","Bakı, bugün 17:25"
18 900 AZN,Ford Transit,"2008, 2.2 L, 294 000 km","Bakı, bugün 17:27"
5 300 AZN,Mercedes 190,"1991, 2.0 L, 600 000 km","Qəbələ, bugün 17:24"
13 500 AZN,Nissan Tiida,"2011, 1.5 L, 105 000 km","Bakı, bugün 17:24"
27 200 $,BMW 530,"2017, 2.0 L, 92 000 km","Bakı, bugün 17:24"
13 500 AZN,Opel Astra,"2011, 1.3 L, 310 000 km","Bakı, bugün 17:24"
8 300 AZN,Honda Insight,"2010, 1.3 L, 508 592 km","Bakı, bugün 17:24"
18 800 AZN,Kia Optima,"2011, 2.0 L, 165 000 km","Bakı, bugün 17:24"
47 900 AZN,Chery eQ7,"2024, 0 km","Bakı, bugün 11:43"
43 999 $,Mercedes S 500 4MATIC,"2014, 4.7 L, 158 000 km","Bakı, dünən 21:41"
54 500 $,Li Auto L7,"2024, 1.5 L, 0 km","Bakı, bugün 19:08"
41 900 AZN,GAC Empow,"2024, 1.5 L, 0 km","Bakı, bugün 11:24"
27 900 AZN,Kia Sorento,"2012, 2.0 L, 261 000 km","Bakı, bugün 13:38"
20 500 $,Tesla Model 3,"2018, 106 000 km","Bakı, bugün 13:37"
30 500 $,Lexus IS 300,"2021, 2.0 L, 43 000 km","Bakı, bugün 15:05"
36 900 AZN,Mercedes C 300 4MATIC,"2015, 2.0 L, 118 000 km","Bakı, bugün 14:48"
7 500 AZN,BMW 320,"2004, 2.0 L, 300 000 km","Bakı, dünən 20:03"
35 800 AZN,Mitsubishi Pajero,"2012, 3.8 L, 144 000 km","Bakı, bugün 15:56"
28 800 AZN,Toyota Camry,"2017, 2.5 L, 213 898 km","Bakı, bugün 13:46"
30 500 $,Volvo XC90,"2017, 2.0 L, 198 000 km","Bakı, bugün 09:32"
18 800 AZN,Kia Optima,"2011, 2.0 L, 165 000 km","Bakı, bugün 17:24"
4 900 AZN,BMW 318,"1993, 1.8 L, 311 452 km","Bakı, bugün 17:24"
31 500 AZN,Kia Sorento,"2014, 2.0 L, 111 000 km","Bakı, bugün 17:24"
28 800 AZN,Hyundai Sonata,"2017, 2.0 L, 115 784 km","Bakı, bugün 17:24"
48 900 AZN,Skoda Octavia,"2024, 1.5 L, 0 km","Bakı, bugün 17:24"
32 900 AZN,Hyundai Santa Fe,"2016, 2.0 L, 175 000 km","Bakı, bugün 17:24"
29 000 $,Toyota Land Cruiser,"2011, 4.7 L, 413 500 km","Bakı, bugün 17:23"
44 900 AZN,Skoda Kamiq,"2024, 1.0 L, 0 km","Bakı, bugün 17:23"
28 000 AZN,Kia Sorento,"2013, 2.0 L, 130 000 km","Sumqayıt, bugün 17:23"
40 900 AZN,Skoda Kamiq,"2024, 1.0 L, 0 km","Bakı, bugün 17:23"
59 900 AZN,Skoda Kodiaq,"2023, 2.0 L, 0 km","Bakı, bugün 17:23"
18 300 AZN,Mercedes E 220 d,"2006, 2.2 L, 321 000 km","Bakı, bugün 17:23"
25 500 AZN,BMW 528,"2015, 2.0 L, 120 000 km","Bakı, bugün 17:23"
8 500 AZN,Mercedes C 180,"1997, 1.8 L, 465 000 km","Bakı, bugün 17:22"
24 564 AZN,Hyundai Sonata,"2012, 2.0 L, 165 000 km","Bakı, bugün 17:22"
20 000 AZN,Hyundai Sonata,"2008, 2.0 L, 200 050 km","Bakı, bugün 17:23"
37 500 AZN,Toyota Land Cruiser Prado,"2013, 2.7 L, 220 000 km","Bakı, bugün 17:27"
14 900 AZN,Mercedes E 320,"2003, 3.2 L, 319 000 km","Bakı, bugün 17:22"
10 500 AZN,LADA (VAZ) Niva,"2015, 1.7 L, 297 000 km","Gəncə, bugün 17:22"
41 000 $,Toyota Land Cruiser,"2013, 4.0 L, 113 500 km","Bakı, bugün 17:22"
5 500 AZN,LADA (VAZ) 2106,"1995, 1.6 L, 300 000 km","Bakı, bugün 17:22"
7 200 AZN,LADA (VAZ) 2107,"2009, 1.6 L, 65 000 km","Bakı, bugün 17:22"
4 300 AZN,LADA (VAZ) 2106,"1987, 1.6 L, 80 000 km","Beyləqan, bugün 17:22"
26 900 $,Toyota Land Cruiser,"2011, 4.0 L, 198 000 km","Bakı, bugün 17:21"
47 900 AZN,Chery eQ7,"2024, 0 km","Bakı, bugün 11:43"
43 999 $,Mercedes S 500 4MATIC,"2014, 4.7 L, 158 000 km","Bakı, dünən 21:41"
54 500 $,Li Auto L7,"2024, 1.5 L, 0 km","Bakı, bugün 19:08"
41 900 AZN,GAC Empow,"2024, 1.5 L, 0 km","Bakı, bugün 11:24"
27 900 AZN,Kia Sorento,"2012, 2.0 L, 261 000 km","Bakı, bugün 13:38"
20 500 $,Tesla Model 3,"2018, 106 000 km","Bakı, bugün 13:37"
30 500 $,Lexus IS 300,"2021, 2.0 L, 43 000 km","Bakı, bugün 15:05"
36 900 AZN,Mercedes C 300 4MATIC,"2015, 2.0 L, 118 000 km","Bakı, bugün 14:48"
7 500 AZN,BMW 320,"2004, 2.0 L, 300 000 km","Bakı, dünən 20:03"
35 800 AZN,Mitsubishi Pajero,"2012, 3.8 L, 144 000 km","Bakı, bugün 15:56"
28 800 AZN,Toyota Camry,"2017, 2.5 L, 213 898 km","Bakı, bugün 13:46"
30 500 $,Volvo XC90,"2017, 2.0 L, 198 000 km","Bakı, bugün 09:32"
18 800 AZN,Kia Optima,"2011, 2.0 L, 165 000 km","Bakı, bugün 17:24"
4 900 AZN,BMW 318,"1993, 1.8 L, 311 452 km","Bakı, bugün 17:24"
31 500 AZN,Kia Sorento,"2014, 2.0 L, 111 000 km","Bakı, bugün 17:24"
28 800 AZN,Hyundai Sonata,"2017, 2.0 L, 115 784 km","Bakı, bugün 17:24"
48 900 AZN,Skoda Octavia,"2024, 1.5 L, 0 km","Bakı, bugün 17:24"
32 900 AZN,Hyundai Santa Fe,"2016, 2.0 L, 175 000 km","Bakı, bugün 17:24"
29 000 $,Toyota Land Cruiser,"2011, 4.7 L, 413 500 km","Bakı, bugün 17:23"
44 900 AZN,Skoda Kamiq,"2024, 1.0 L, 0 km","Bakı, bugün 17:23"
28 000 AZN,Kia Sorento,"2013, 2.0 L, 130 000 km","Sumqayıt, bugün 17:23"
40 900 AZN,Skoda Kamiq,"2024, 1.0 L, 0 km","Bakı, bugün 17:23"
59 900 AZN,Skoda Kodiaq,"2023, 2.0 L, 0 km","Bakı, bugün 17:23"
18 300 AZN,Mercedes E 220 d,"2006, 2.2 L, 321 000 km","Bakı, bugün 17:23"
25 500 AZN,BMW 528,"2015, 2.0 L, 120 000 km","Bakı, bugün 17:23"
8 500 AZN,Mercedes C 180,"1997, 1.8 L, 465 000 km","Bakı, bugün 17:22"
24 564 AZN,Hyundai Sonata,"2012, 2.0 L, 165 000 km","Bakı, bugün 17:22"
20 000 AZN,Hyundai Sonata,"2008, 2.0 L, 200 050 km","Bakı, bugün 17:23"
37 500 AZN,Toyota Land Cruiser Prado,"2013, 2.7 L, 220 000 km","Bakı, bugün 17:27"
14 900 AZN,Mercedes E 320,"2003, 3.2 L, 319 000 km","Bakı, bugün 17:22"
10 500 AZN,LADA (VAZ) Niva,"2015, 1.7 L, 297 000 km","Gəncə, bugün 17:22"
41 000 $,Toyota Land Cruiser,"2013, 4.0 L, 113 500 km","Bakı, bugün 17:22"
5 500 AZN,LADA (VAZ) 2106,"1995, 1.6 L, 300 000 km","Bakı, bugün 17:22"
7 200 AZN,LADA (VAZ) 2107,"2009, 1.6 L, 65 000 km","Bakı, bugün 17:22"
4 300 AZN,LADA (VAZ) 2106,"1987, 1.6 L, 80 000 km","Beyləqan, bugün 17:22"
26 900 $,Toyota Land Cruiser,"2011, 4.0 L, 198 000 km","Bakı, bugün 17:21"
28 500 AZN,Toyota Camry,"2012, 2.5 L, 190 000 km","Bakı, bugün 01:24"
31 200 AZN,Bestune B70,"2024, 1.5 L, 0 km","Bakı, bugün 11:09"
16 700 AZN,Chevrolet Damas,"2024, 0.8 L, 0 km","Bakı, bugün 14:45"
105 400 AZN,Toyota Land Cruiser Prado,"2024, 2.8 L, 0 km","Bakı, bugün 13:13"
8 700 AZN,LADA (VAZ) Granta,"2015, 1.6 L, 171 864 km","Şabran, bugün 19:19"
38 000 AZN,Hyundai Sonata,"2020, 1.6 L, 59 448 km","Bakı, bugün 03:16"
37 900 AZN,Kia Carnival,"2017, 2.2 L, 211 000 km","Bakı, bugün 15:43"
19 500 AZN,Hyundai Santa Fe,"2007, 2.0 L, 170 000 km","Bakı, dünən 20:45"
38 700 AZN,Kia Sorento,"2018, 2.0 L, 167 227 km","Bakı, dünən 21:17"
12 900 AZN,Opel Astra,"2005, 1.4 L, 270 000 km","Bakı, bugün 19:16"
27 300 AZN,Kia Sportage,"2015, 2.0 L, 197 685 km","Bakı, bugün 09:56"
35 500 $,Toyota Land Cruiser,"2013, 4.0 L, 150 000 km","Sumqayıt, dünən 23:34"
10 000 AZN,BMW 528,"2001, 2.8 L, 350 397 km","Bakı, bugün 17:21"
15 500 AZN,Toyota Prius,"2009, 1.8 L, 438 427 km","Bakı, bugün 17:21"
10 500 AZN,Mitsubishi Airtrek,"2002, 2.0 L, 300 000 km","Bakı, bugün 17:21"
6 100 AZN,LADA (VAZ) 2107,"2004, 1.6 L, 65 342 km","Qazax, bugün 17:27"
5 300 AZN,LADA (VAZ) 2106,"2000, 1.6 L, 95 000 km","Sabirabad, bugün 17:21"
21 500 AZN,LADA (VAZ) Niva,"2023, 1.7 L, 19 300 km","Gəncə, bugün 17:21"
9 700 AZN,Opel Astra,"2006, 1.3 L, 400 000 km","Bakı, bugün 17:21"
39 900 AZN,Chery Tiggo 7 Pro,"2024, 1.5 L, 0 km","Bakı, bugün 17:21"
34 900 $,BMW 330e,"2021, 2.0 L, 45 000 km","Bakı, bugün 17:27"
8 800 AZN,LADA (VAZ) 2115,"2010, 1.6 L, 200 000 km","Bakı, bugün 17:21"
2 000 AZN,LADA (VAZ) 2106,"1981, 1.6 L, 15 000 km","Bakı, bugün 17:38"
10 700 AZN,Mitsubishi Pajero io,"2006, 2.0 L, 325 000 km","Bakı, bugün 17:20"
17 800 AZN,Mercedes E 270,"2002, 2.7 L, 560 000 km","Bakı, bugün 17:20"
26 500 AZN,Toyota Land Cruiser Prado,"2008, 2.7 L, 241 000 km","Bakı, bugün 17:20"
12 900 AZN,Toyota Corolla,"2007, 1.6 L, 248 380 km","Sumqayıt, bugün 17:20"
25 200 AZN,Hyundai i40,"2014, 1.7 L, 245 000 km","Bakı, bugün 17:20"
19 800 AZN,BMW 328,"2015, 2.0 L, 195 078 km","Bakı, bugün 17:20"
41 700 AZN,Hyundai Santa Fe,"2017, 2.0 L, 160 000 km","Bakı, bugün 17:20"
12 500 AZN,Mazda 3,"2008, 2.0 L, 190 000 km","Bakı, bugün 17:20"
21 000 AZN,Mercedes GL 550,"2008, 5.5 L, 235 000 km","Bakı, bugün 17:20"
1 500 AZN,TVS Sport,"2023, 100 sm3, 3 050 km","Sumqayıt, bugün 17:19"
4 200 AZN,LADA (VAZ) 2109,"1991, 1.5 L, 157 000 km","Bakı, bugün 17:19"
25 900 $,Jeep Wrangler,"2013, 3.6 L, 136 000 km","Bakı, bugün 17:19"
33 500 $,Lexus ES 300h,"2022, 2.5 L, 51 000 km","Bakı, bugün 17:19"
72 040 $,Lexus RX 350h,"2024, 2.5 L, 0 km","Bakı, bugün 09:47"
19 900 $,Changan Uni-Z,"2025, 1.5 L, 0 km","Bakı, bugün 17:40"
17 500 $,Audi A5,"2016, 2.0 L, 110 000 km","Bakı, bugün 14:27"
39 900 AZN,Geely Galaxy L6,"2025, 1.5 L, 0 km","Bakı, bugün 13:09"
22 500 AZN,Ford Fusion (North America),"2013, 2.0 L, 254 000 km","Bakı, bugün 13:49"
25 900 AZN,Changan Qiyuan A05,"2025, 1.5 L, 0 km","Bakı, bugün 18:17"
23 800 AZN,BYD Destroyer 05,"2025, 1.5 L, 0 km","Bakı, dünən 21:00"
12 999 AZN,Ford Focus,"2015, 1.0 L, 176 534 km","Bakı, bugün 05:34"
23 900 AZN,Hyundai Elantra,"2017, 2.0 L, 58 000 km","Bakı, bugün 17:41"
33 500 AZN,BMW 528,"2015, 2.0 L, 209 000 km","Bakı, bugün 17:28"
12 300 AZN,Mercedes B 180,"2009, 1.7 L, 162 000 km","Bakı, bugün 13:51"
17 500 AZN,Nissan Note,"2016, 1.2 L, 64 000 km","Bakı, dünən 20:01"
33 500 $,Lexus ES 300h,"2022, 2.5 L, 51 000 km","Bakı, bugün 17:19"
74 900 AZN,GAC ES9,"2024, 2.0 L, 0 km","Bakı, bugün 17:19"
11 000 AZN,Ford Focus,"2007, 1.6 L, 241 000 km","Bakı, bugün 17:19"
14 900 AZN,BMW 525,"2006, 2.5 L, 350 000 km","Xırdalan, bugün 17:19"
81 200 AZN,MAN TGX 18.480,"2014, 13 L, 997 786 km","İmişli, bugün 17:19"
15 900 AZN,Kia Optima,"2016, 1.6 L, 172 000 km","Bakı, bugün 17:19"
46 500 $,Mitsubishi Pajero Sport,"2025, 2.4 L, 0 km","Bakı, bugün 17:19"
18 500 AZN,Ford Fusion (North America),"2016, 1.5 L, 178 000 km","Bakı, bugün 17:19"
30 500 AZN,Mercedes Vito,"2009, 2.2 L, 324 000 km","Bakı, bugün 17:19"
69 000 $,Porsche Taycan 4S,"2021, 49 000 km","Bakı, bugün 17:18"
6 500 AZN,BMW 528,"1996, 2.8 L, 300 000 km","Bakı, bugün 17:18"
34 000 AZN,Karry Cowfish,"2024, 0 km","Bakı, bugün 17:18"
36 000 AZN,Karry X5,"2024, 0 km","Bakı, bugün 17:18"
27 500 AZN,Hyundai ix35,"2014, 2.0 L, 156 900 km","Bakı, bugün 17:18"
12 700 AZN,Nissan Micra,"2014, 1.2 L, 39 000 km","Bakı, bugün 17:18"
43 000 AZN,Karry Elephant,"2024, 0 km","Bakı, bugün 17:18"
46 900 $,Mercedes E 220 d,"2018, 2.0 L, 92 000 km","Bakı, bugün 17:18"
17 000 AZN,Toyota Aqua,"2016, 1.5 L, 35 749 km","Bakı, bugün 17:18"
17 000 AZN,Toyota Aqua,"2016, 1.5 L, 54 523 km","Bakı, bugün 17:18"
40 900 $,Lexus LX 570,"2012, 5.7 L, 158 000 km","Bakı, bugün 17:18"
18 800 AZN,Hyundai Sonata,"2010, 2.0 L, 187 000 km","Gəncə, bugün 17:18"
28 300 $,Lexus GX 460,"2012, 4.6 L, 186 500 km","Bakı, bugün 17:18"
46 900 AZN,Hyundai Santa Fe,"2018, 2.0 L, 144 000 km","Bakı, bugün 17:18"
30 000 $,Infiniti QX60,"2013, 3.5 L, 114 667 km","Bakı, bugün 17:18"
2 999 AZN,Dayun DY200-22A,"2024, 200 sm3, 0 km","Bakı, bugün 14:39"
24 500 $,Toyota Corolla Cross,"2024, 2.0 L, 0 km","Bakı, bugün 09:45"
49 900 $,Li Auto L7,"2024, 1.5 L, 0 km","Bakı, bugün 11:17"
72 900 $,Mercedes G 63 AMG,"2014, 5.5 L, 114 000 km","Bakı, bugün 10:36"
45 300 AZN,Hyundai Sonata N Line,"2020, 2.5 L, 96 000 km","Bakı, bugün 15:15"
51 500 AZN,Hyundai Grandeur,"2022, 2.5 L, 47 500 km","Bakı, dünən 22:28"
21 000 AZN,Nissan Note,"2019, 1.2 L, 25 750 km","Bakı, bugün 09:25"
37 000 $,Mercedes GLC 300,"2018, 2.0 L, 159 000 km","Bakı, bugün 15:17"
21 800 AZN,Mercedes E 350,"2008, 3.5 L, 273 000 km","Bakı, bugün 13:40"
23 500 AZN,Hyundai Elantra,"2019, 2.0 L, 146 000 km","Bakı, dünən 21:12"
22 300 AZN,Ford Fusion (North America),"2017, 1.5 L, 170 590 km","Bakı, bugün 14:51"
19 900 AZN,Hyundai Sonata,"2011, 2.4 L, 224 000 km","Bakı, bugün 12:01"
30 000 $,Infiniti QX60,"2013, 3.5 L, 114 667 km","Bakı, bugün 17:18"
27 900 AZN,Hyundai Santa Fe,"2013, 2.4 L, 180 000 km","Bakı, bugün 17:17"
15 500 AZN,Nissan X-Trail,"2008, 2.5 L, 250 000 km","Bakı, bugün 17:17"
18 500 $,Mercedes S 350,"2011, 3.5 L, 211 000 km","Bakı, bugün 17:17"
12 100 AZN,Lexus LS 460L,"2007, 4.6 L, 100 000 km","Bakı, bugün 17:17"
25 500 AZN,BMW 535,"2010, 3.0 L, 259 262 km","Bakı, bugün 17:17"
9 800 AZN,Land Rover Range Rover,"2001, 2.5 L, 280 000 km","Quba, bugün 17:17"
30 900 $,BMW 530,"2017, 2.0 L, 82 000 km","Bakı, bugün 17:17"
34 900 AZN,Mercedes E 220 d,"2015, 2.2 L, 177 300 km","Bakı, bugün 17:17"
13 500 AZN,Mercedes E 200 d,"1995, 2.0 L, 588 911 km","Şirvan, bugün 17:17"
36 500 $,Mercedes GL 450 4MATIC,"2015, 3.0 L, 86 000 km","Bakı, bugün 17:17"
45 900 $,Lexus LX 570,"2014, 5.7 L, 206 000 km","Bakı, bugün 17:17"
22 900 AZN,Kia Forte,"2017, 2.0 L, 59 000 km","Bakı, bugün 17:17"
36 000 AZN,Mercedes ML 350 4MATIC,"2010, 3.5 L, 303 000 km","Bakı, bugün 17:17"
19 900 $,Changan Uni-Z,"2025, 1.5 L, 0 km","Bakı, bugün 17:40"
41 500 AZN,Kia Sorento,"2015, 2.0 L, 165 000 km","Bakı, bugün 17:16"
4 200 AZN,Mercedes 190,"1991, 2.0 L, 314 000 km","Sumqayıt, bugün 17:16"
30 800 AZN,Hyundai Santa Fe,"2014, 2.0 L, 175 000 km","Bakı, bugün 17:16"
22 800 AZN,Hyundai Elantra,"2017, 2.0 L, 100 220 km","Bakı, bugün 17:16"
23 700 AZN,Hyundai Elantra,"2016, 2.0 L, 97 450 km","Bakı, bugün 17:16"
14 800 AZN,Nissan Latio,"2015, 1.2 L, 70 000 km","Bakı, bugün 17:16"
32 800 AZN,Mercedes Atego 1823,"1999, 6.4 L, 600 000 km","Bakı, bugün 17:16"
20 500 AZN,Hyundai Santa Fe,"2009, 2.2 L, 214 856 km","Masallı, bugün 17:16"
25 900 AZN,Mercedes C 250,"2014, 1.8 L, 159 000 km","Bakı, bugün 17:15"
22 900 AZN,Ford Fusion (North America),"2018, 1.5 L, 62 300 km","Bakı, bugün 09:42"
195 000 $,Ferrari 458 Spider,"2013, 4.5 L, 6 000 km","Bakı, dünən 22:27"
37 900 AZN,Wuling Asta,"2024, 2.0 L, 0 km","Bakı, bugün 15:01"
37 900 $,Mercedes GLE 350 4MATIC,"2018, 3.5 L, 122 000 km","Bakı, bugün 14:59"
33 000 $,Mercedes E 200,"2016, 2.0 L, 95 000 km","Bakı, bugün 14:45"
39 000 AZN,Mercedes Atego 1224,"2007, 6.4 L, 500 000 km","Bakı, bugün 01:30"
20 000 AZN,Toyota Aqua,"2019, 1.5 L, 140 000 km","Bakı, bugün 00:13"
23 900 $,Jeep Grand Cherokee,"2014, 3.0 L, 238 000 km","Bakı, dünən 22:59"
22 000 AZN,Kia K3,"2015, 1.6 L, 107 000 km","Bakı, bugün 11:59"
60 000 $,BMW X5,"2019, 3.0 L, 92 000 km","Bakı, bugün 16:36"
22 900 $,BMW 520,"2016, 2.0 L, 220 000 km","Bakı, bugün 12:14"
35 400 AZN,Mercedes Sprinter 515,"2006, 2.2 L, 447 000 km","Bakı, bugün 18:31"
25 900 AZN,Mercedes C 250,"2014, 1.8 L, 159 000 km","Bakı, bugün 17:15"
